_id,job_name,category
8tfut,數位轉型數據架構師,Others
8vwuw,AI工程師-F650,AI Engineer / Researcher
8jxgl,"Machine Learning Engineer, Speech/ASR/TTS/Music Generation",AI Engineer / Researcher
7nlpu,Machine Learning Engineer 機器學習工程師,AI Engineer / Researcher
7bdre,【研究發展處】大數據資料處理工程師,General Software Engineer
8ax0e,(ASIC Team) 數位IC設計工程師（*此職缺非研發替代役*）,General Software Engineer
827of,後端工程師,Backend Engineer
8vwz4,【台北】AI工程師【OS】,AI Engineer / Researcher
8tj3r,(2026 New College Grad) Digital Design Engineer_(限即將畢業、剛畢業或工作經驗一年以下者),General Software Engineer
8ctwm,Technical Project Manager / 技術專案經理,Others
82fm4,韌體工程師（台北）,Embedded / Firmware Engineer
83n03,Machine Learning Engineer (NLP) 機器學習工程師（自然語言處理）(23090101),AI Engineer / Researcher
7adje,"軟體研發工程師 (Backend Engineer, PHP)",Backend Engineer
8d9q5,Senior Technical Artist / Graphics Programmer,General Software Engineer
87vf0,元大期貨-交易員(自營部),Others
8tlc9, AI 演算法工程師,AI Engineer / Researcher
8qiki,自動化測試軟體工程師_14360,QA / Automation Engineer
8khkq,"【吉隆坡】數據工程師Data Engineer — ""Data Infrastructure Architect""",Data Engineer
8s9ep,AI工程師,AI Engineer / Researcher
8vhbn,Database Administrator,Others
8vq2s,年後職缺搶先看｜【外貿協會】市場情報中心－AI Agent 工程師（AI Agent Engineer）｜OCS_830,AI Engineer / Researcher
76wdy,約聘資料分析師(駐點食藥署),Data Scientist / Analyst
889qn,數據科技部-資料工程師 / 數據服務架構師,Data Engineer
8qtc6,專案開發部_DevOps Engineer,DevOps / SRE / Cloud Engineer
5b9pe,Radar DSP Algorithm Development Engineer,AI Engineer / Researcher
7zniz,【RECCESSARY】綠電助理分析師,Others
8vtw0,軟體工程師_14886,General Software Engineer
8vfap,後端工程師 (AI產品應用),AI Engineer / Researcher
8npsb,Machine Learning Engineer - Robot Manipulation 機器學習工程師 - 機器人操控,AI Engineer / Researcher
8dun1,Machine Learning and Signal Processing Engineer (機器學習與訊號處理工程師),AI Engineer / Researcher
8ttxa,"Lead Associate (經理暨資深顧問), Rewards Data Intelligence, Taiwan",AI Engineer / Researcher
8o98o,統一超商Python後端軟體工程師(uniopen Junior Backend Engineer),Backend Engineer
86m48,Embedded Software Engineer,Embedded / Firmware Engineer
8qg50,[獨立接案]網站流量優化AI工程師,AI Engineer / Researcher
85p23,(2026 New College Grad) Analog Design Engineer(Power)_(限即將畢業、剛畢業或工作經驗一年以下者),General Software Engineer
8q7iu,AI Cloud Operation Manager,AI Engineer / Researcher
8w0v6,QA工程師｜雲端技術專案經驗_台北,DevOps / SRE / Cloud Engineer
6purq,機器學習與人工智慧研發工程師,AI Engineer / Researcher
8jf4u,中華經濟研究院第一研究所誠徵專任計畫助理與計畫輔佐研究員1～2名（國內外經濟、財金、統計、數學等相關學系研究所畢業）,Others
8gizh,資深 DevOps 工程師 Senior DevOps Engineer,DevOps / SRE / Cloud Engineer
8sjrz,(桃園)後端工程師｜區塊鏈工具開發 & 自動化腳本方向,QA / Automation Engineer
8bhd6,【AI虛擬人】(資深)全端工程師 (Senior) Full Stack Developer,AI Engineer / Researcher
7gsl1,Software Engineer — System Software & Beyond,General Software Engineer
8uhqz,【豐藝集團 AI 子公司】Regulatory Affairs Specialist 醫療法規事務專員,AI Engineer / Researcher
7dgf0,Software Network Engineer 軟體網路工程師,General Software Engineer
3omui,"Software Engineer (C/C++, Linux) 軟體開發工程師 - Taipei (Req: 18832)",AI Engineer / Researcher
7zvdt,系統監控 DevOps 工程師,DevOps / SRE / Cloud Engineer
7r3xj,AI工程師,AI Engineer / Researcher
8uyor,環控 弱電 智慧居家整合工程師,General Software Engineer
7ufiz,【音訊處理工程師】DSP Engineer,General Software Engineer
8sbi5,AI/機器學習工程師 AI/ML Engineer | 計算生物 Computational Biology,AI Engineer / Researcher
8oeu7,MIS 工程師（資訊安全 / 端點管理）,General Software Engineer
8mcsu,雲端數據工程師,Data Engineer
8pgjp,AI應用工程師,AI Engineer / Researcher
8qgpd,前端軟體工程師-台北,Frontend Engineer
8lbae,【經營管理】商業分析師 Business Analyst（專案組）,Others
8oko8,軟體測試系統架構工程師_14189,QA / Automation Engineer
8v3a4,研發部: R&D Engineer_Batteries (資工/數學+AI/ML專長),AI Engineer / Researcher
8vuuq,全端工程師,Fullstack Engineer
8vv2p,Sr. Software Dev Engineer,General Software Engineer
8te5j,數位醫療服務 -【全端工程師】,Fullstack Engineer
89q9w,數據實習工程師 (長期) / Data Engineer Intern,Data Engineer
8ria5,"LLM 研發實習生 (AI Research Intern, LLM Focus)(25070101)",AI Engineer / Researcher
8sf6z,Senior Developer,General Software Engineer
477n9,Anti-Virus Research Scientist/Engineer 資安防毒分析師 - Taipei (Req: 20410),AI Engineer / Researcher
6cmoy,【DL/ML】Deep Learning / Machine Learning Engineer (深度學習/機器學習工程師),AI Engineer / Researcher
82ow9,AI-系統分析設計師/主管,AI Engineer / Researcher
73am4,科技金融_資料工程師,Data Engineer
8mx4c,影像處理工程師,General Software Engineer
8lrzp,Sr. Software Engineer - Linux System (NE),Frontend Engineer
8v8bf,Support Engineer/Junior Programmer(支援 Microsoft 專案),General Software Engineer
84ozd,後端工程師,Backend Engineer
8mvrc,軟體測試工程師 Software QA Engineer,QA / Automation Engineer
8v4qf,RF SA工程師(台北),General Software Engineer
8qluu,Full-Stack Integration Engineer 全端整合工程師,Fullstack Engineer
8teog,Software QA Engineer-SDK,QA / Automation Engineer
8f6tx,【工程魂召喚中】雷出你的未來！招募 軟體工程師,General Software Engineer
6sfcs,數位醫療資深後端工程師｜Sr. Backend Engineer,Backend Engineer
6liq7,Data Engineer,Data Engineer
8v0md,Machine Learning Engineer,AI Engineer / Researcher
85lsy,影像處理工程師,General Software Engineer
8v0if,Operation Engineer(兼職午班 / 假日班）,General Software Engineer
8syby,軟體工程師 Software Engineer,General Software Engineer
8cx69,Senior Software Engineer (Backend),Backend Engineer
8pfsd,BIM工程師 BIM Engineer,General Software Engineer
8vx4e,IT Intern IT實習生,Others
7mof7,Software Engineer in Camera,General Software Engineer
82l4y,自動化測試工程師,QA / Automation Engineer
87c1w,AI應用串接工程師,AI Engineer / Researcher
5o7vg,數據工程師/Data Engineer,Data Engineer
7ic9x,測試工程師 - 軟體 / 自動化(SoftwareQA),QA / Automation Engineer
8qef4,資訊工程師(智能服務處),General Software Engineer
6vncx,京站-CRM資深數據分析專員,Data Scientist / Analyst
7trsb,技術部-服務可靠性工程師 Site Reliability Engineer,DevOps / SRE / Cloud Engineer
8v1yi,iii☻台北大同區☻讓 AI 與機率決定遊戲樂趣★誠徵【數值機率專員】★掌控機率的魔法師,AI Engineer / Researcher
8s80o,軟體工程師（台北/台中）_14505,General Software Engineer
8kzkg,SRE Engineer SRE工程師,DevOps / SRE / Cloud Engineer
7befx,誠徵「抗生素抗藥性疾病負擔與影響跨領域整合型評估計畫」駐點計畫下研究助理1名,Others
83q2e,Business Project Analyst,Others
8s6bz,資訊研究助理,Others
8t3oy,Senior Machine Learning Engineer - Cybersecurity,AI Engineer / Researcher
8vsn9,Quantitative Researcher,Others
8uacf,專案助理,Others
8tyah,LH250122-大數據資料工程師(台北總公司),Data Engineer
7bqjo,證券公司資訊人員(應用系統六組),Others
8utb8,AI應用規劃師,AI Engineer / Researcher
