_id,salaryMin,salaryMax
8v3sg,40000,50000
8v8kn,65000,90000
8rye9,50000,90000
8sne9,50000,75000
8qszy,153846,307692
8t2sd,60000,90000
8jg07,38000,50000
72cfg,45000,70000
8i8p0,150000,180000
8ucki,40000,80000
8r6i4,55000,75000
8u0o9,40000,70000
7fg65,70000,80000
8a3pt,45000,85000
8vg5l,45000,60000
7lowe,61538,92307
8687z,35000,65000
8t2r0,60000,100000
7kxuy,70000,95000
8qqmc,115384,230769
8uc1m,40000,80000
6f7w2,138461,200000
8t2qh,60000,90000
6pthj,40000,60000
8rito,40000,65000
8rytz,75000,90000
7d4jj,60000,80000
8umbw,60000,80000
6h48b,34000,38000
52cb4,55000,70000
8hx73,42000,70000
84519,50000,80000
8txvf,115384,153846
8n0do,56000,70000
7menh,110000,150000
8uyqt,50000,80000
7qpsw,40000,70000
8iqlu,45000,100000
8aama,84615,115384
8rwh6,50000,70000
8ooi3,50000,90000
7hz54,38200,80000
7dspd,50000,75000
88qyr,40000,70000
8nqru,35000,50000
8t3a2,50000,65000
8mteu,36000,46000
8mwef,56000,70000
7dspg,75000,100000
7sk57,35000,50000
8u43x,60000,65000
8vaqy,107692,123076
5bhsl,40000,80000
8ljhz,40000,90000
8t3pu,50000,90000
8mu2y,61538,123076
8lafd,55000,85000
8n47w,40000,70000
8ft9t,35000,40000
6udh2,61538,76923
spa0,50000,75000
8ula0,40000,65000
8nk83,40000,60000
8s9de,46153,69230
8sspg,50000,80000
8tf90,50000,100000
706v1,50000,100000
8ns52,61538,92307
8cfbm,60000,70000
7xvsr,36923,53846
4ycy1,35000,40000
8qlig,40000,55000
8ua3l,35000,60000
8qudj,40000,60000
80sc1,50000,70000
7umaj,70000,90000
7yzyo,60000,90000
8jxs7,45000,65000
8nx0d,48600,63600
8tihn,123076,176923
8s9ms,107692,138461
8tt8t,92307,123076
6l2th,76923,153846
8hqy4,65000,85000
6ojg2,60000,100000
7fcwq,38461,153846
8w03v,46153,69230
8u8ol,50000,65000
6lc5h,69230,169230
7fcwk,38461,153846
8w8ai,100000,140000
8vn0p,75000,90000
54v1u,38461,115384
8sses,65384,84615
8tihp,92307,123076
8vaw9,32000,62000
8jo2q,50000,92307
76lsw,45000,90000
6l5o9,69153,138461
8ovm5,53000,100000
5v1d7,38461,153846
7pdcl,80000,100000
885yd,69230,92307
8ue1c,40000,80000
8bf6x,50000,100000
6lblw,70000,153846
8ssso,69230,92307
8i1y2,76923,123076
8jf53,61538,107692
8bz7f,80000,150000
8rr22,35000,45000
8ttm4,40000,50000
8943y,45000,120000
7at7v,50000,75000
7f9ff,30000,60000
8v8wu,36300,50000
8rc7d,84615,153846
8w8ag,30000,31000
8ixn5,33000,38000
8tn9u,40000,100000
89ndh,84615,153846
8w6pa,40000,65000
8ocyj,45000,65000
3sgkd,30000,60000
8v0pj,50000,70000
7kokw,76923,115384
6vco8,35000,60000
6akif,35000,60000
7eby6,33000,60000
8ux6w,92307,138461
8ujq2,42000,50000
6ds2z,40477,47977
8kgme,40000,70000
3ss4b,41000,57000
8p8fw,35000,90000
8vyoy,30000,50000
79h9h,36000,50000
8rt88,50000,54000
8peoa,50000,65000
7egx7,35000,40000
8ux61,100000,138461
7lleg,38000,48000
8izv2,60000,75000
8mvtx,34000,60000
86pcj,40000,55000
89g8s,38000,45000
4cdsi,30000,60000
8quzc,50000,80000
8ac2g,40000,60000
7zn06,65000,90000
52mag,38000,80000
3c03n,55000,100000
8lu6k,75000,110000
6qxhc,33000,45000
87ia5,58500,64500
8onpy,35000,40000
82raw,40000,55000
8v1an,45000,60000
8tigu,32000,40000
5uwqy,35000,60000
76rkd,55000,100000
7uhwq,40000,55000
6hv7d,30000,60000
6nps6,45000,100000
8vycr,60000,85000
8s4s3,36000,50000
6xn40,40000,60000
7tpv7,30000,40000
87ijv,68500,80500
7z9n4,40000,55000
83v28,76923,107692
8v21x,55000,100000
7icmi,40000,80000
8nius,35000,70000
7m5sl,45000,120000
8n926,35000,45000
6k86q,60000,100000
8tj0e,69230,123076
8ba2i,75000,95000
7ch89,40000,55000
8onu2,35000,40000
64k6b,45000,100000
8rsd9,35000,45000
8oxup,36000,55000
7veol,40000,60000
8lafv,30000,60000
8abe0,30000,60000
7shty,60000,60000
7dvqf,45000,60000
8ots6,35000,55000
8w81t,38000,42000
8febr,40000,80000
8o5m5,36000,53000
7o3u5,35000,80000
8w2gy,40000,80000
83onr,80000,120000
8ht4m,38000,50000
8v38l,60000,100000
8i1fd,50000,120000
8u0bv,35000,43000
8utz9,50000,75000
79lyf,50000,65000
87nw2,32000,36000
8tb5y,40000,50000
8k28p,30000,60000
8v0l4,30000,33000
6sm7a,36000,75000
8v2q1,42300,70000
6tlpo,33000,50000
8s6m3,40000,70000
8v0kz,30000,33000
8t5bu,40000,55000
5ft27,41000,57000
690e1,30000,50000
8vvj8,32000,32000
68tpe,40000,90000
81a85,40000,65000
7gsf9,35000,50000
8tra7,33000,50000
8p21q,40000,45000
4g05u,32700,38100
4c9i1,30000,60000
4iqif,45500,57500
8vcym,45000,55000
8v94z,34000,42000
4q7kf,40000,65000
8b2mb,35000,45000
8ttxy,50000,60000
8v20y,56000,58600
8v2wr,47500,68000
7xbyv,35000,50000
4tbt5,30000,50000
3jvhm,30000,60000
82ce6,38000,70000
87t1n,35000,45000
8pxj6,45000,55000
8o5ov,35000,60000
66cb7,50000,80000
8pxix,45000,55000
8riqe,36000,45000
63s4m,50000,100000
8lyl5,45000,45000
8w15w,40000,80000
7v3o6,30000,35000
8tim4,35000,50000
8vhym,31000,38000
8uyks,38000,45000
