_id,description
72jad,Internet Explorer
72jad,PowerPoint
72jad,Word
8i9vo,Python
8i9vo,R
8i9vo,LLM
6y1ic,Django
6y1ic,CSS
6y1ic,jQuery
6y1ic,JavaScript
6y1ic,HTML
6y1ic,Python
6y1ic,AJAX
6y1ic,Git
6y1ic,Github
6y1ic,Linux
89olt,Git
89olt,MySQL
89olt,PostgreSQL
89olt,RDBMS
89olt,JavaScript
89olt,jQuery
8urv6,Java
8urv6,Oracle
8urv6,JavaScript
8urv6,Spring
8eirr,Python
8t66m,Linux
8t66m,Github
8t66m,AJAX
8t66m,PHP
8t66m,Python
8t66m,MySQL
8t66m,PostgreSQL
8t66m,RDBMS
8t66m,Django
8da01,Jenkins
8da01,Git
8da01,Java
8qln9,Python
8qln9,C++
8qln9,Node.js
8qln9,JavaScript
8qln9,Go
8drrw,VueJS
8drrw,JavaScript
8drrw,RDBMS
8drrw,Cloud
8drrw,MLOPs
8drrw,Python
8drrw,Git
8drrw,Github
8drrw,OOP
8iz0g,C#
8iz0g,JavaScript
8rf8o,Python
8rf8o,Django
8rf8o,Node.js
8rf8o,Spring
8rf8o,MS SQL
8rf8o,MySQL
7fmiq,OOP
7fmiq,Servlets
7fmiq,Java
7fmiq,Ruby
7fmiq,AWS
7fmiq,HTML
7fmiq,CSS
7fmiq,SAS
8soya,OOP
8soya,Servlets
8soya,Java
8soya,Ruby
8soya,AWS
8soya,HTML
8soya,CSS
8soya,SAS
7ibvb,Git
7ibvb,ASP.NET
7ibvb,C#
7ibvb,MS SQL
7ibvb,JavaScript
7ibvb,jQuery
7ibvb,CSS
7ibvb,VueJS
8voqb,MySQL
8voqb,Git
8voqb,Github
8voqb,Linux
8voqb,ssh
8qs5f,C++
6f7w2,Linux
6f7w2,Github
6f7w2,Perl
6f7w2,MySQL
6f7w2,AWS
6f7w2,HTML
6f7w2,JavaScript
6f7w2,XML
6f7w2,CSS
6f7w2,ReactJS
8qs57,Linux
8qs57,C++
8vqx4,Git
8vqx4,Python
8vqx4,Node.js
8aama,Linux
8aama,Github
8aama,Perl
8aama,MySQL
8aama,AWS
8aama,HTML
8aama,JavaScript
8aama,XML
8aama,CSS
8aama,ReactJS
8t9j8,Go
7dspd,Linux
7dspd,Java
7dspd,PostgreSQL
8t7ol,C
8t7ol,C#
8t7ol,C++
8t7ol,Java
8t7ol,MySQL
7dspg,Linux
7dspg,Git
7dspg,Java
8ikjk,Github
8ikjk,Java
8ikjk,Spring
8ikjk,MS SQL
8ikjk,MySQL
8jn9a,Java
8jn9a,Spring
8jn9a,MySQL
8jn9a,PostgreSQL
8ft9t,Python
8ft9t,Tableau
7ob2g,Python
87fz6,Python
87fz6,MS SQL
6nqi9,C
6nqi9,C++
6nqi9,Python
6nqi9,VBA
6nqi9,Excel
7umaj,PHP
7umaj,VueJS
7umaj,Node.js
7umaj,XML
7umaj,JavaScript
7umaj,J2EE
7umaj,PostgreSQL
7umaj,ODBC
7umaj,MySQL
7umaj,MS SQL
7umaj,ETL
7umaj,JSP
7umaj,Java
7umaj,Git
7umaj,Github
7umaj,UML
7umaj,Systems Analysis
6pw99,Python
8vgs5,Python
8vgs5,PostgreSQL
8vgs5,LLM
8vgs5,MySQL
8vgs5,Git
8tihn,C++
8tihn,Git
8tihn,JavaScript
8tihn,Python
8tihn,Node.js
8w2gc,Python
8w2gc,tensorflow
8w2gc,Java
8w2gc,PyTorch
8w2gc,Git
8w2gc,Linux
8w2gc,Github
8w2gc,Shell
8tt8t,C++
8tt8t,Python
7fcwq,Android
7fcwq,C
7fcwq,C++
7fcwq,Java
8urnq,Linux
8urnq,Go
8u8ol,VueJS
8u8ol,JavaScript
7fcwk,Android
7fcwk,C
