_id,salaryMin,salaryMax
8si5n,0,0
8a80w,0,0
87di7,0,0
8otky,0,0
8it05,0,0
8c0uu,0,0
8vsv9,0,0
8jrtl,0,0
81ajn,0,0
8r6i7,0,0
8taeo,60000,9999999
8qs1q,0,0
8mvji,0,0
8ugem,0,0
8vn9e,0,0
7y2m5,0,0
8qf9n,40000,9999999
6wwx9,0,0
8ef5p,0,0
7kh7k,38000,9999999
7uvyy,0,0
8pwoi,50000,9999999
8tl14,0,0
7nk4j,50000,9999999
8vna2,0,0
7dzco,0,0
7bw8m,0,0
5icpr,0,0
8rg17,70000,9999999
7qog7,0,0
77aly,65000,9999999
8ti04,0,0
8rd09,70000,9999999
8ubaq,0,0
8lp0j,0,0
8lqoo,0,0
8ogfw,0,0
8by1l,0,0
8vkms,0,0
7il6q,0,0
8inxl,0,0
80q2n,55000,9999999
7079g,0,0
8vp9e,0,0
8k527,0,0
8hp8n,70000,9999999
7q6b5,0,0
5zs7q,0,0
8um5o,0,0
7um6u,0,0
8b4gc,0,0
7yde1,0,0
8olay,0,0
74uqq,0,0
8ry69,0,0
8a1qj,0,0
8vwye,0,0
8te4c,0,0
6lgdn,0,0
7avlu,33000,9999999
8te3z,0,0
6r429,0,0
8uh79,0,0
8bxfq,0,0
7h9od,0,0
8la8r,0,0
6kza7,0,0
8tjkd,0,0
8mbeb,0,0
73xzo,0,0
8eirr,0,0
7qcxb,0,0
8gag9,0,0
8ugop,0,0
7yddk,0,0
85dh6,0,0
8przu,0,0
8sl0i,0,0
8u9ws,0,0
75yeg,0,0
85e61,0,0
8u7ts,0,0
8uiuq,0,0
7koih,0,0
8tgfn,0,0
8ci65,0,0
8g2d3,0,0
7v1rz,0,0
7ollo,45000,9999999
5bwie,0,0
8qfha,0,0
7hpzh,50000,9999999
8daiq,0,0
8da01,0,0
8tscz,0,0
8vxqx,0,0
7rewd,0,0
7xtif,0,0
8vms1,0,0
7s0hd,0,0
7vwlf,0,0
8thk4,50000,9999999
8mfp5,0,0
8c731,0,0
8g0zh,0,0
8r2bc,0,0
8qm03,0,0
71gfq,0,0
8r6gc,0,0
7bmis,0,0
8uwhe,0,0
7ryab,45000,9999999
8kxal,0,0
7hv6a,40000,9999999
8uw9i,0,0
8ukdn,0,0
7vh3j,0,0
8t9em,0,0
8vklz,0,0
8rotx,50000,9999999
8js8t,0,0
8ost2,0,0
8knq3,0,0
8tk5t,0,0
71gzu,0,0
7ts8d,0,0
8mp64,0,0
8tysf,0,0
8vr45,0,0
7jyw4,0,0
8v1mw,0,0
8dhbv,0,0
8vwru,70000,9999999
8j1l5,0,0
8qqqe,40000,9999999
8vh4o,0,0
8mmhw,0,0
8nsy6,0,0
8t11a,50000,9999999
8v7ve,0,0
8p8jb,0,0
8qdvx,0,0
8lg11,0,0
8rgao,0,0
8s155,0,0
73k78,0,0
8jt1a,0,0
8qbo2,0,0
8lqrr,0,0
885rr,0,0
8ciyg,0,0
8snuq,0,0
8q0qk,55000,9999999
7wlhe,0,0
66dnd,0,0
8tnx9,0,0
7axnf,0,0
8vklr,0,0
8vpi0,0,0
8oyy7,0,0
8uj7u,0,0
7ed1i,0,0
7sq3e,52000,9999999
73f51,0,0
8visi,0,0
8vg5x,76923,9999999
87ziz,0,0
8onea,0,0
8ebfp,0,0
8vmfy,0,0
6tmuo,40000,9999999
7vqr5,0,0
8lym8,0,0
8tn7y,40000,9999999
8k4om,0,0
86ugh,0,0
8v0ku,0,0
8liqv,0,0
4nmpt,60000,9999999
7wuck,0,0
8d1py,0,0
8jmq9,0,0
8vh4h,0,0
8coxg,0,0
8vv8l,0,0
8q8xg,0,0
6iwdn,0,0
8rg4g,0,0
8qln9,0,0
5s28d,0,0
8qu2v,0,0
8rrf7,0,0
8765w,0,0
8v5jr,0,0
8jq4u,0,0
85cij,0,0
7x271,0,0
