_id,job_name
89j52,【資訊板塊】DevOps工程師 ( DevOps Engineer )_I00001321
8ou40,【資深後端工程師】｜打造 AI 賦能的數據 SaaS 平台
8vx9o,SRE工程師
83kqb,系統工程師
8sfck,Infrastructure Engineer_F62V
8s8g2,AI-Powered Full Stack Engineer (Agentic & Web)  AI 全端工程師
8j2fp,(資深)遊戲機率設計工程師(台北)
8to87,Full-Stack Web Developer_自動化與智能化機器人巡檢解決方案(台北內湖)
7pmc6,數據分析師-Data Analysis
878rt,筆電韌體BIOS助理/專員/主管/高級工程師 (Chromebook/ThinkPad/WoS)
8t8z7,Support Engineer
8l3ub,【活用英文】【日商】後端工程師 Software Engineer (Backend)
85vpd,EVOX DevOps 雲端維運開發工程師
7vwye,D4000 資料科學家
7g6ez,世新大學知識經濟發展研究院-專案助理研究員
8r3i9,AI 工程師（智慧醫療研發）
8kwo6,電腦視覺與機器人工程師
8q8wq,Backend Product Engineer【企業 AI 應用開發】
8i9k3,QA Engineer 測試工程師
8p2a4,數據中台開發工程師
87pdz,風險管理處-信用計量應用人員
8o11z,Senior Data Engineer（新加坡商手遊 / 能源sass / 網路安全 and more）- IW
8vr9v,系統工程師(高雄)
7pe3h,雲端系統工程師｜AI系統工程師｜AI/DevOps｜DevOps 工程師｜雲端工程師
87p9z,數位金融處-資料工程專業人員
81x0z,資深後端⼯程師 Senior Backend Engineer
8vnfb,Senior MLOps (Edge AI) (上市公司創業團隊AI應用) -IW
7dwws,自動化軟體測試工程師  Automation Software Quality Assurance Engineer
8vxst,Senior UI/UX Full stack Engineer
8ugvz,Cloud DevOps Engineer (Taipei office)
7segs,Senior DevOps Engineer (Cloud) 雲端開發運維工程師
8nk21,CAD自動化軟體工程師(士林)
87e2v,軟體開發實習生(台北)
8ctvr,Data Scientist / Data Engineer
8k3ph,【2026年研發替代役】跨平台軟體開發工程師
8qdvg,資深生成式AI工程師
8cupa,資安滲透測試工程師
8vt1f,軟體工程師(資料工程)_104A
8qnwp,產品管理師
8r3d2,日文全端工程師／AI系統工程師（正職）
7e1sl,數據工程師
71j4l,後端工程師 (AI運動科技)
8vs27,科技金融_企業系統開發暨維運工程師
8vwjk,Technology Analyst
7zlep,Senior Backend Engineer 資深後端工程師 (Lab Team)
88uya,資深AI 工程師｜Sr. AI Model Engineer
7py44,總公司【資訊系統開發部】數據ETL架構師
8gh3n,碳管理軟體工程師
8hooh,生成式AI雲端應用開發工程師 - 數據分析行業
7xlli,【威脅分析中心】資安工程師
8iiyo,Quantitative Research Intern
85ngs,資深軟體測試工程師
8lqxs,Sr. System Software Engineer – LLM Framework
8c01d,Edge應用 軟韌體工程師（AIoT）
7xeh1,"Senior Software Engineer, Backend Development"
7763m,大數據部門數據工程師
8n468,現場應用工程師 Field Application Consultant
85pwg,AI系統工程師-學生實習 AI System Engineer(Intern)
8d4m7,3D Technical Artist 技術美術師
8r4i6,【Infra Center】系統工程師 (IT system engineer)
8s5gz,軟體工程師(台北/台中)_14504
7h0ls,軟體設計工程師(專案開發二組)
7p6rn,AI工程師
8uw80,AI應用-後端工程師
8tlge,企業資訊工程師
8gt09,*️⃣【Startup Global FinTech Company (金融科技)｜Senior C++ Engineer】提供無上限年假 / 免費高級午餐 / 享部分遠端制度每週 2 天｜BIS_233
7rkad,Data Engineer 數據工程師
8r67g,風險管理處-資深財務工程人員
8uv9w,資深營運稽核經理-台北-ME
8pkn9,後端工程師.
8gpir,程式設計師 / 網站開發工程師
8at8h,主任工程師
8jzxq,兒童程式課程教材設計開發人員(兼職)
8sozh,CAD開發工程師_14571
8sovq,霹靂舞運動科學數據分析師
889ho,Machine Learning Engineer (CV) 機器學習工程師 (電腦視覺)(24013102)
8uu0k,AI Data Processing Intern / AI 資料處理實習生
8jl93,Software Engineer 軟體開發工程師 (歡迎大學新鮮人)
8lqe0,資深後端工程師
85yiu,資料分析工程師
8rf3e,全端開發工程師(台北)
87usz,Back-end Engineer 後端工程師
81lto,R10100 網頁工程師
8reup,Data engineering
7edni,Android Engineer_RSBU SWRD
